Source IP,Destination IP,Source Port,Destination Port,Timestamp,Protocol,Packet Size,Flags,Severity Level
217.149.206.151,115.111.201.181,575,21179,1/11/2024 20:37,ICMP,996,BH609,Malicious
44.129.217.154,84.198.130.244,6702,36477,1/14/2024 13:57,ICMP,588,Rb054,Suspicious
202.79.131.60,200.239.228.133,55831,17377,1/17/2024 20:26,ICMP,1036,by330,Normal
171.113.230.20,180.117.205.227,36246,28645,1/12/2024 19:54,UDP,880,pb588,Suspicious
1.129.219.73,203.186.187.130,59582,15853,1/20/2024 8:20,TCP,663,cK122,Suspicious
109.59.218.160,156.211.227.56,56178,13929,1/11/2024 18:38,TCP,1249,ep736,Normal
24.234.137.227,100.190.187.178,31935,54541,1/7/2024 8:11,ICMP,1301,rr574,Normal
14.90.119.208,176.127.168.113,27907,57508,1/4/2024 11:22,UDP,1003,SB852,Suspicious
155.239.221.66,116.193.138.83,5061,35422,1/5/2024 13:50,TCP,974,RM743,Normal
172.126.45.147,61.166.39.191,10611,14863,1/21/2024 6:21,ICMP,866,ud843,Malicious
208.237.165.103,113.246.74.1,9819,43708,1/4/2024 11:29,TCP,872,rk985,Normal
90.255.151.137,45.7.85.57,9303,2791,1/4/2024 1:29,TCP,350,MN015,Suspicious
4.158.47.179,121.137.107.8,27734,29035,1/18/2024 12:37,ICMP,890,Nl425,Malicious
205.9.207.42,57.150.229.247,41877,46763,1/3/2024 6:16,ICMP,428,Zm979,Malicious
153.203.240.35,17.232.47.69,45625,20503,1/14/2024 2:47,TCP,710,UA160,Malicious
153.244.44.63,115.198.55.14,10770,35117,1/6/2024 10:11,UDP,1335,vD801,Normal
178.130.28.13,201.221.60.194,20242,37750,1/20/2024 3:46,UDP,979,xs497,Malicious
133.175.218.14,124.185.153.212,29702,64970,1/13/2024 21:12,TCP,952,Dh661,Malicious
186.105.92.52,132.57.104.240,25677,46617,1/7/2024 18:21,UDP,815,XA336,Malicious
24.24.252.183,70.29.61.53,50595,13191,1/11/2024 12:38,TCP,766,SQ107,Normal
198.85.37.123,221.179.131.214,16709,2481,1/14/2024 4:13,ICMP,417,kQ226,Suspicious
78.148.2.105,84.37.50.107,19114,28585,1/16/2024 15:05,ICMP,1329,kv984,Normal
135.53.184.140,57.66.131.197,41873,31610,1/4/2024 20:59,ICMP,1062,FB094,Suspicious
185.121.84.188,66.10.225.132,35179,25199,1/14/2024 12:46,TCP,1216,Ty347,Suspicious
114.45.217.5,157.77.125.199,3555,26864,1/5/2024 5:22,UDP,356,Ag551,Normal
47.34.54.193,212.48.141.108,41916,10566,1/5/2024 20:36,ICMP,825,Zn466,Normal
58.92.154.171,183.138.197.168,1043,46412,1/3/2024 19:43,TCP,892,Np256,Malicious
101.239.160.105,74.98.158.177,64355,50484,1/3/2024 22:31,TCP,1480,XW585,Normal
42.23.102.106,168.75.231.17,29263,14630,1/17/2024 11:32,ICMP,1018,PY584,Normal
128.113.8.209,31.240.126.53,61216,41264,1/12/2024 23:44,UDP,353,Rc643,Normal
73.58.83.171,214.83.81.88,65285,51629,1/5/2024 15:18,UDP,1169,HD897,Normal
62.128.76.236,16.190.49.37,58380,43748,1/22/2024 1:10,ICMP,82,Mw502,Normal
41.187.174.246,178.97.220.46,57749,38191,1/1/2024 21:07,UDP,1216,zR156,Suspicious
215.118.197.12,105.208.182.20,52813,43126,1/11/2024 11:25,UDP,1143,Dw075,Suspicious
11.53.230.94,102.222.24.185,52856,49391,1/18/2024 4:01,TCP,1314,Bg186,Suspicious
50.156.156.157,110.74.248.31,1411,48534,1/7/2024 20:48,UDP,194,ZT582,Suspicious
115.9.141.137,144.106.166.21,65392,64110,1/17/2024 4:27,ICMP,1375,Xj578,Malicious
64.107.137.187,139.196.187.218,51854,47957,1/14/2024 6:41,ICMP,1062,My820,Malicious
197.30.157.176,135.25.46.204,58055,13716,1/9/2024 8:28,ICMP,484,it279,Malicious
94.193.36.88,20.19.207.227,34474,49201,1/1/2024 12:26,ICMP,1267,IL530,Normal
137.78.252.208,10.50.69.24,64786,2873,1/21/2024 23:41,TCP,1164,MF888,Malicious
88.151.57.173,23.170.161.255,22722,51970,1/7/2024 17:55,ICMP,412,WN529,Malicious
79.216.61.223,154.130.1.185,59007,45268,1/4/2024 0:06,UDP,397,bZ124,Malicious
57.84.221.86,52.146.42.36,58348,36037,1/25/2024 2:12,UDP,1169,hk951,Normal
133.89.59.85,152.52.150.167,6357,37494,1/18/2024 5:51,UDP,1081,CV143,Malicious
17.13.23.26,90.31.107.147,62861,793,1/14/2024 5:57,UDP,318,xB921,Suspicious
81.106.192.69,155.224.54.62,38327,28410,1/4/2024 0:59,UDP,589,mn553,Suspicious
141.186.250.79,108.42.66.194,13108,60146,1/14/2024 19:27,TCP,128,bW706,Normal
39.2.4.237,41.165.225.173,11501,15032,1/18/2024 14:39,TCP,1224,Iu917,Malicious
174.228.16.23,173.222.188.116,52697,8354,1/11/2024 18:59,UDP,552,ma161,Normal
129.205.190.64,45.100.84.157,19062,60607,1/6/2024 23:31,UDP,1461,Fc863,Suspicious
154.176.160.158,76.70.207.236,27319,42720,1/10/2024 16:26,TCP,874,VB543,Suspicious
213.183.47.106,190.215.11.3,40155,64275,1/19/2024 18:49,ICMP,255,Fr996,Suspicious
191.168.88.23,175.211.33.110,18685,43740,1/6/2024 15:57,UDP,1332,xH321,Normal
147.93.78.186,42.145.228.250,33117,32207,1/8/2024 13:03,TCP,1063,uc133,Malicious
25.225.251.225,12.115.245.159,29278,56231,1/2/2024 15:00,UDP,975,vQ686,Normal
170.232.62.104,118.190.177.68,20319,56008,1/18/2024 12:10,ICMP,1333,wk841,Normal
141.43.164.212,73.145.48.39,45065,4874,1/24/2024 11:23,TCP,101,hT413,Normal
52.198.155.172,209.190.91.215,47648,63723,1/5/2024 17:47,ICMP,1266,FF599,Malicious
218.178.218.177,47.27.116.95,1011,47038,1/9/2024 0:00,TCP,309,cp578,Normal
179.222.29.225,150.215.104.64,31502,38796,1/24/2024 7:54,ICMP,390,lA782,Normal
103.75.6.27,80.212.42.199,33431,14971,1/18/2024 19:01,ICMP,713,dz137,Malicious
39.226.36.127,67.216.103.137,51678,7944,1/23/2024 14:17,UDP,195,iZ869,Normal
40.231.93.209,182.148.37.67,38187,56014,1/14/2024 14:29,TCP,1233,rS808,Malicious
93.183.99.237,151.30.15.140,6476,5181,1/17/2024 11:03,TCP,892,kZ649,Malicious
191.206.150.188,175.28.169.180,5511,25497,1/3/2024 2:34,TCP,351,Rp032,Normal
4.79.178.36,15.6.151.110,39763,7205,1/22/2024 19:17,ICMP,471,ad421,Malicious
26.195.124.153,25.10.11.172,41108,5264,1/13/2024 7:41,ICMP,1425,bQ099,Normal
128.254.220.227,62.136.1.94,65366,52017,1/2/2024 19:47,TCP,575,FH254,Suspicious
132.37.58.120,24.251.113.164,31371,63066,1/17/2024 3:41,ICMP,724,tx954,Malicious
218.29.215.63,215.70.158.166,6505,17190,1/19/2024 10:25,UDP,1413,DD487,Normal
149.187.136.132,156.142.39.240,35876,25617,1/20/2024 17:56,ICMP,221,lM532,Normal
119.47.29.143,207.135.250.183,2151,30759,1/20/2024 19:00,UDP,830,kP604,Suspicious
84.164.255.94,23.78.70.156,49789,29296,1/1/2024 16:50,UDP,335,rn975,Suspicious
80.160.216.192,205.95.205.214,37136,45005,1/7/2024 22:46,TCP,989,GI881,Normal
77.122.192.178,56.198.163.231,23897,51696,1/1/2024 21:43,ICMP,70,oo866,Malicious
4.169.195.178,99.191.69.16,45228,16841,1/7/2024 2:25,TCP,1129,Mo299,Suspicious
4.175.87.31,137.58.239.168,54177,47288,1/5/2024 17:59,TCP,514,mm147,Suspicious
183.48.231.254,194.117.152.31,7739,37002,1/2/2024 13:37,TCP,1141,Rp279,Normal
137.59.202.216,34.149.52.85,49752,16482,1/4/2024 8:59,UDP,334,rR265,Suspicious
100.15.192.70,115.19.132.118,51919,45309,1/12/2024 9:59,UDP,827,Hv594,Suspicious
53.27.136.92,187.25.202.177,7974,54382,1/15/2024 14:24,UDP,1477,OE253,Suspicious
89.8.115.228,91.137.180.239,3652,58,1/1/2024 12:08,ICMP,316,fe862,Suspicious
211.254.77.119,219.131.74.34,37015,48541,1/1/2024 3:20,ICMP,495,kB481,Malicious
30.251.233.7,173.231.102.137,11822,27271,1/22/2024 19:04,TCP,582,Vv127,Normal
81.194.249.159,209.158.88.189,44420,34652,1/22/2024 11:58,TCP,1454,jA293,Suspicious
172.77.54.51,181.145.245.131,56609,57480,1/3/2024 10:31,UDP,191,QB574,Suspicious
5.221.95.87,35.77.145.227,17430,7465,1/17/2024 21:09,ICMP,360,zc022,Normal
47.31.133.67,130.206.135.212,2294,685,1/15/2024 13:37,TCP,977,pQ251,Malicious
162.83.74.228,145.113.207.239,41351,16280,1/1/2024 1:40,TCP,753,FP280,Normal
37.136.71.151,155.19.230.54,60125,48615,1/22/2024 15:03,TCP,513,OG307,Suspicious
178.243.179.96,107.207.249.199,28840,2514,1/6/2024 2:35,ICMP,74,GN142,Suspicious
65.96.66.144,215.19.183.240,12189,47634,1/1/2024 7:41,UDP,648,KN619,Normal
78.164.80.175,18.83.154.217,34469,45998,1/15/2024 16:52,UDP,80,Hp463,Normal
100.25.184.160,30.61.39.80,64725,36728,1/17/2024 9:12,UDP,671,rU047,Normal
174.216.84.254,116.57.214.106,25071,1046,1/1/2024 0:08,UDP,462,Vx892,Suspicious
73.122.177.95,90.44.67.246,4100,12494,1/22/2024 16:22,TCP,1429,TA019,Malicious
107.129.160.68,44.255.143.233,56875,61382,1/13/2024 19:10,TCP,1481,nq746,Malicious
208.218.169.252,51.105.195.72,55700,61795,1/18/2024 0:27,UDP,1461,rq157,Suspicious
198.167.54.146,1.220.155.194,59067,46370,1/18/2024 13:44,UDP,632,kY465,Suspicious
27.149.44.245,16.17.116.3,35573,38235,1/20/2024 17:20,TCP,309,lt448,Suspicious
136.29.223.144,111.159.40.115,61879,24190,1/22/2024 9:49,ICMP,830,Hx613,Suspicious
125.20.194.244,170.100.14.105,18879,13166,1/12/2024 22:35,UDP,271,kp362,Suspicious
68.127.71.190,29.115.244.28,11442,2132,1/12/2024 12:34,TCP,1082,mO165,Suspicious
49.51.8.245,20.232.243.60,21872,28471,1/14/2024 0:35,UDP,1333,ni439,Suspicious
201.99.94.124,144.142.140.102,40551,56522,1/21/2024 12:25,TCP,74,SH348,Malicious
160.3.198.36,83.119.188.186,50073,48235,1/10/2024 0:46,ICMP,1461,la655,Malicious
132.19.2.47,176.175.219.147,39362,52674,1/6/2024 11:42,TCP,83,Ta468,Suspicious
88.251.127.158,100.252.213.194,16393,24247,1/20/2024 14:16,ICMP,522,Ts969,Suspicious
25.124.83.133,36.64.254.148,25927,32816,1/24/2024 9:39,TCP,1327,JE845,Suspicious
154.64.222.114,175.77.101.253,35158,3732,1/5/2024 16:17,ICMP,789,lI241,Malicious
1.228.167.94,153.13.206.64,5533,26904,1/18/2024 8:41,ICMP,1310,Dr229,Suspicious
87.242.148.65,46.178.239.151,48191,8192,1/2/2024 15:05,ICMP,863,Qz291,Malicious
198.210.79.113,47.229.203.146,9194,4279,1/3/2024 11:18,ICMP,149,QZ652,Suspicious
128.141.118.55,108.12.36.112,10037,59554,1/3/2024 12:09,UDP,557,fe946,Normal
160.88.129.151,91.162.206.103,59009,18022,1/4/2024 4:38,UDP,81,Ef513,Malicious
25.144.75.166,125.194.83.73,35449,45148,1/5/2024 4:24,TCP,196,Yo963,Malicious
191.40.203.56,123.69.141.171,46680,54906,1/25/2024 0:10,TCP,1183,tv838,Malicious
77.207.204.176,202.242.30.18,33475,12733,1/5/2024 9:44,TCP,1024,Zg516,Suspicious
36.157.109.126,104.226.28.238,16055,51370,1/11/2024 0:19,TCP,1309,lc400,Malicious
42.250.175.51,144.114.129.139,17216,47288,1/23/2024 18:23,TCP,843,Fh056,Normal
223.96.117.12,165.132.97.14,27123,19895,1/7/2024 18:27,ICMP,458,gU320,Malicious
214.173.93.175,203.78.55.104,23691,12568,1/11/2024 23:20,TCP,597,TQ011,Normal
144.46.21.135,38.232.210.174,35239,42771,1/2/2024 8:18,ICMP,784,TC026,Suspicious
41.223.246.168,128.223.42.240,56967,43632,1/1/2024 22:20,ICMP,491,ZY263,Suspicious
94.67.253.210,222.176.41.169,20611,40101,1/10/2024 14:59,ICMP,255,zu317,Malicious
200.227.166.132,122.155.96.127,8625,42210,1/9/2024 18:43,TCP,906,QQ084,Malicious
121.107.112.158,150.199.28.15,26112,11210,1/24/2024 11:22,TCP,520,VO952,Malicious
201.125.223.205,196.162.182.95,41002,27456,1/6/2024 11:51,UDP,440,pK269,Normal
16.39.136.74,10.166.107.232,25798,35465,1/20/2024 5:54,TCP,566,pl901,Suspicious
149.188.191.105,45.160.51.63,38811,8485,1/17/2024 14:13,TCP,1093,cM407,Normal
52.126.151.168,46.80.14.69,15690,22485,1/23/2024 23:07,TCP,374,Pr738,Suspicious
134.142.109.155,18.165.104.206,3831,36395,1/7/2024 5:47,ICMP,581,Bg490,Normal
84.164.211.246,159.183.202.151,40292,44884,1/10/2024 3:32,TCP,839,zz865,Normal
155.161.163.142,124.211.65.57,36385,9411,1/11/2024 18:30,TCP,811,MC492,Suspicious
118.32.33.51,54.6.248.18,60908,63788,1/17/2024 10:30,ICMP,216,NX999,Normal
149.112.82.70,87.39.91.52,42637,13739,1/11/2024 15:22,TCP,1196,cz119,Suspicious
186.45.236.220,83.80.165.95,27301,44911,1/8/2024 19:49,UDP,700,Ey402,Normal
133.106.199.253,7.130.57.195,25613,53830,1/9/2024 0:01,TCP,1093,Mb114,Suspicious
135.92.110.39,18.154.163.45,31460,29135,1/20/2024 23:24,UDP,1249,rS556,Malicious
23.63.151.116,60.21.220.248,41578,44917,1/17/2024 3:41,UDP,982,iq433,Suspicious
186.188.16.135,101.143.141.153,62472,4139,1/21/2024 0:54,TCP,69,kd263,Suspicious
145.119.94.69,99.194.189.129,36354,65315,1/3/2024 20:10,TCP,684,fH791,Malicious
18.43.63.87,2.6.213.100,61590,18076,1/12/2024 0:36,ICMP,919,em699,Normal
170.155.54.171,93.106.165.126,23065,64124,1/6/2024 19:19,ICMP,780,xn623,Suspicious
18.68.135.140,9.173.216.107,60207,43300,1/12/2024 10:35,TCP,851,xv312,Suspicious
98.197.148.224,81.8.239.36,22315,25118,1/17/2024 5:16,UDP,1313,Tc253,Malicious
203.143.226.225,161.30.66.159,26100,9527,1/16/2024 10:35,ICMP,784,yE506,Malicious
97.236.216.210,65.149.97.76,8758,11485,1/20/2024 11:34,ICMP,837,dc707,Malicious
16.53.104.230,187.167.16.187,28315,48510,1/2/2024 18:56,TCP,1311,Xm537,Suspicious
52.40.125.125,78.230.161.101,40955,56564,1/24/2024 18:14,TCP,1491,zA301,Normal
57.194.201.105,198.79.40.101,48415,8767,1/24/2024 14:35,UDP,1049,Az594,Suspicious
161.184.210.240,43.94.64.252,60524,62042,1/10/2024 20:34,ICMP,1350,NQ526,Suspicious
113.137.5.14,9.49.140.51,58100,63421,1/3/2024 15:07,TCP,1347,oO198,Suspicious
63.237.200.23,23.241.213.85,41636,3617,1/22/2024 17:42,ICMP,1250,pc667,Suspicious
116.30.67.28,160.60.118.110,37934,678,1/9/2024 7:14,ICMP,304,TJ139,Suspicious
158.225.212.76,196.95.191.204,55230,31343,1/2/2024 8:59,ICMP,1304,Ts228,Malicious
123.59.226.27,64.52.68.103,35747,10487,1/7/2024 8:41,UDP,212,Tp364,Malicious
128.132.16.71,17.67.240.60,17007,30105,1/9/2024 17:56,ICMP,1489,pW178,Malicious
151.210.249.112,133.179.119.216,58908,16798,1/12/2024 22:51,UDP,1435,fS862,Malicious
59.94.163.239,81.105.88.171,55814,59978,1/20/2024 14:15,TCP,87,uw721,Suspicious
167.217.251.238,157.37.242.250,15145,14012,1/10/2024 19:50,ICMP,968,FJ788,Normal
172.120.95.64,159.84.198.176,14030,35915,1/9/2024 11:46,UDP,62,ze551,Suspicious
137.98.227.105,78.244.102.22,4143,36383,1/4/2024 22:03,ICMP,338,WX936,Malicious
