"subregion","region","pop","income","ipaddr","ufo2010","infections"
"bowman","north dakota",3202,50487,2421,0,4
"box butte","nebraska",11317,44118,10232,1,8
"box elder","utah",50171,55588,39421,1,15
"boyd","kentucky",49164,38848,44665,6,56
"boyd","nebraska",2054,37375,1147,1,1
"boyle","kentucky",28658,41035,20351,4,33
"bracken","kentucky",8494,39643,3430,0,8
"bradford","florida",27049,41397,11415,3,14
"bradford","pennsylvania",62792,42433,40423,8,78
"bradley","arkansas",11397,32337,3943,0,9
"bradley","tennessee",101134,40541,67288,3,104
"branch","michigan",43868,42505,24229,8,20
"brantley","georgia",18587,38374,6384,3,11
"braxton","west virginia",14468,31686,2943,0,8
"brazoria","texas",324769,67018,238077,19,208
"brazos","texas",200665,37161,339911,3,177
"breathitt","kentucky",13635,22304,1786,0,6
"breckinridge","kentucky",20071,38325,6019,0,6
"bremer","iowa",24479,58372,14542,0,13
"brevard","florida",547307,50068,827563,39,394
"brewster","texas",9316,39615,11315,3,5
"briscoe","texas",1561,34130,1019,0,2
"bristol","massachusetts",551082,55813,501152,34,439
"bristol","rhode island",49144,70553,42695,2,42
"broadwater","montana",5756,44570,5103,0,5
"bronx","new york",1408473,34744,806565,0,841
"brooke","west virginia",23853,41441,6210,2,7
"brookings","south dakota",32629,46101,90957,1,32
"brooks","georgia",15403,40186,8171,1,8
"brooks","texas",7161,19936,765,0,2
"broome","new york",198060,45619,347892,14,177
"broward","florida",1815137,51782,3028072,90,1943
"brown","illinois",6914,42014,1356,0,1
"brown","indiana",15083,50503,5798,0,6
"brown","kansas",9881,36218,5996,1,8
"brown","minnesota",25425,48149,23568,0,23
"brown","nebraska",3023,29856,2033,4,2
"brown","ohio",44381,46046,16659,1,28
"brown","south dakota",37331,47327,33081,1,40
"brown","texas",37825,39965,29449,4,20
"brown","wisconsin",253032,53353,434200,17,228
"brule","south dakota",5293,48170,4025,0,3
"brunswick","north carolina",112257,45132,65670,8,93
"brunswick","virginia",17010,34170,8733,0,2
"bryan","georgia",32214,64651,22500,2,34
"bryan","oklahoma",43399,36661,18928,6,29
"buchanan","iowa",20942,54879,7927,0,8
"buchanan","missouri",89706,43386,155900,0,65
"buchanan","virginia",23859,30606,7878,0,12
"buckingham","virginia",17088,36378,3337,0,4
"bucks","pennsylvania",627053,76019,566955,43,497
"buena vista","iowa",20592,46145,81502,0,20
"buffalo","nebraska",47463,49851,99719,4,51
"buffalo","south dakota",2020,28493,382,0,1
"buffalo","wisconsin",13333,46073,9292,0,17
"bullitt","kentucky",75896,51857,46231,6,49
"bulloch","georgia",72694,33902,116314,4,60
"bullock","alabama",10474,31955,2487,0,11
"buncombe","north carolina",244490,44321,315333,36,231
"bureau","illinois",34323,48046,13760,3,31
"burke","georgia",23125,32188,7583,1,10
"burke","north carolina",90505,37440,44539,3,57
"burke","north dakota",2171,54402,0,0,0
"burleigh","north dakota",85774,56231,168710,6,79
"burleson","texas",17291,42679,12067,2,8
"burlington","new jersey",451336,77798,706042,16,383
"burnet","texas",43448,48291,32454,8,19
"burnett","wisconsin",15382,40686,4333,2,9
"burt","nebraska",6659,45813,3963,1,9
"butler","alabama",20307,31273,6451,0,16
"butler","iowa",14986,50052,7642,0,9
"butler","kansas",65827,57573,31084,10,57
"butler","kentucky",12840,32508,3283,0,9
"butler","missouri",43053,34080,40320,1,34
"butler","nebraska",8295,48804,1527,0,2
"butler","ohio",370589,55497,284906,13,283
"butler","pennsylvania",184970,57474,129127,16,169
"butte","california",221539,42971,220316,39,224
"butte","idaho",2740,37821,1019,2,1
"butte","south dakota",10228,41145,3059,0,5
"butts","georgia",23524,49339,24273,2,27
"cabarrus","north carolina",184498,54280,154996,15,148
"cabell","west virginia",96974,35691,62557,25,61
"cache","utah",115520,48338,259841,1,42
"caddo","louisiana",257093,39086,206447,13,446
"caddo","oklahoma",29678,37835,15456,3,12
"calaveras","california",44742,55256,35565,9,30
"calcasieu","louisiana",194493,43614,110291,26,210
"caldwell","kentucky",12935,37078,7936,0,17
"caldwell","louisiana",10004,38606,5493,0,11
"caldwell","missouri",9145,40522,3188,1,3
"caldwell","north carolina",81930,37845,41499,1,83
"caldwell","texas",38734,43136,19995,2,14
"caledonia","vermont",31121,44433,18368,0,19
"calhoun","alabama",117296,39467,366026,9,150
"calhoun","arkansas",5307,30625,4375,1,2
"calhoun","florida",14723,31142,9579,0,15
"calhoun","georgia",6504,32986,2170,0,0
"calhoun","illinois",5014,48958,3948,0,3
"calhoun","iowa",9909,44331,4717,0,9
"calhoun","michigan",135099,42287,164769,11,96
"calhoun","mississippi",14843,29893,5235,1,5
"calhoun","south carolina",14910,37318,2936,0,3
"calhoun","texas",21609,44433,9717,0,13
"calhoun","west virginia",7607,26099,6246,0,8
"callahan","texas",13517,45933,4526,0,12
"callaway","missouri",44305,50669,159016,3,22
"calloway","kentucky",37655,39316,40744,2,21
"calumet","wisconsin",49634,63395,21787,3,14
"calvert","maryland",89628,92981,66004,4,58
"camas","idaho",1077,41184,764,0,0
"cambria","pennsylvania",141584,41202,145213,11,123
"camden","georgia",51402,51061,104390,4,46
"camden","missouri",43845,44961,25835,3,30
"camden","new jersey",513539,61824,683993,14,522
"camden","north carolina",10090,63998,2494,2,6
"cameron","louisiana",6702,61679,509,1,3
"cameron","pennsylvania",4939,40449,1532,0,3
"cameron","texas",415557,32156,124958,6,186
"camp","texas",12449,36998,6282,0,1
"campbell","kentucky",90908,53018,42066,52,84
"campbell","south dakota",1396,40385,255,0,0
"campbell","tennessee",40420,31337,32256,0,12
"campbell","virginia",55163,45992,229323,10,77
"campbell","wyoming",47874,78356,85197,7,56
"canadian","oklahoma",122560,62355,59971,11,104
"candler","georgia",11117,37315,10860,0,13
"cannon","tennessee",13811,36742,3575,2,10
"canyon","idaho",193888,42943,73564,13,94
"cape girardeau","missouri",76950,45795,112268,6,48
"cape may","new jersey",96304,55315,50715,8,63
"carbon","montana",10127,46194,8992,0,6
"carbon","pennsylvania",65006,49056,123754,7,83
"carbon","utah",21246,43659,81111,0,11
"carbon","wyoming",15666,58655,14795,6,9
"caribou","idaho",6787,49740,3914,0,3
"carlisle","kentucky",5034,35699,1911,0,5
"carlton","minnesota",35348,53553,22195,3,22
"caroline","maryland",32718,61021,26945,6,22
"caroline","virginia",28972,58707,30663,1,34
"carroll","arkansas",27610,36031,18504,4,19
"carroll","georgia",111580,45752,155120,4,97
"carroll","illinois",15011,45433,9600,1,6
"carroll","indiana",20095,49232,13936,1,9
"carroll","iowa",20631,48038,9815,3,10
"carroll","kentucky",10900,42063,4006,1,8
"carroll","maryland",167217,83325,144717,12,74
"carroll","mississippi",10423,28793,1961,0,4
"carroll","missouri",9086,44015,5018,3,4
"carroll","new hampshire",47567,50555,42839,6,51
"carroll","ohio",28587,43323,23396,3,21
"carroll","tennessee",28390,36455,8439,1,15
"carroll","virginia",29851,35841,5350,2,9
"carson","texas",6157,60028,9451,1,7
"carson city","nevada",54838,54235,155406,3,47
"carter","kentucky",27348,35637,18633,0,28
"carter","missouri",6262,26689,1019,2,1
"carter","montana",1177,35121,255,0,0
"carter","oklahoma",48085,39722,28187,4,52
"carter","tennessee",57355,32148,12924,12,23
"carteret","north carolina",67632,47403,42582,7,41
"carver","minnesota",93707,82710,145312,7,73
"cascade","montana",81723,44074,73372,18,39
"casey","kentucky",16082,27327,3567,0,8
"cass","illinois",13338,41139,9246,3,13
"cass","indiana",38581,42679,18988,9,14
"cass","iowa",13723,41444,8996,2,7
"cass","michigan",52242,45432,44720,7,42
"cass","minnesota",28357,43042,21615,4,18
"cass","missouri",100376,60807,77507,12,95
"cass","nebraska",25133,63608,21834,3,19
"cass","north dakota",156157,49429,242403,9,192
"cass","texas",30166,35592,10489,3,16
"cassia","idaho",23249,39551,8941,3,8
"castro","texas",8164,36893,5325,0,4
"caswell","north carolina",23217,37926,6770,0,3
"catahoula","louisiana",10292,37115,1025,0,5
"catawba","north carolina",154339,43733,152894,15,127
"catoosa","georgia",65046,46549,38126,5,38
"catron","new mexico",3658,37857,4340,3,4
"cattaraugus","new york",79458,42754,97364,7,46
"cavalier","north dakota",3948,49293,463337,0,11
"cayuga","new york",79552,50140,120603,6,56
"cecil","maryland",101696,66903,78420,9,59
"cedar","iowa",18416,57004,13563,0,8
"cedar","missouri",13799,31353,14159,0,26
"cedar","nebraska",8746,42857,2039,1,7
"centre","pennsylvania",155171,48262,292577,22,103
"cerro gordo","iowa",43788,45973,37125,2,33
"chaffee","colorado",18150,43684,13050,3,6
"chambers","alabama",34064,32186,29423,0,28
"chambers","texas",36196,72850,15210,5,14
"champaign","illinois",203276,44462,560709,16,147
"champaign","ohio",39565,48335,28116,2,29
"chariton","missouri",7649,40958,3321,1,6
"charles","maryland",150592,92135,134751,8,129
"charles city","virginia",7157,47093,1252,0,3
"charles mix","south dakota",9216,36757,4767,1,5
"charleston","south carolina",365162,50133,564977,24,281
"charlevoix","michigan",26023,48745,12753,7,12
"charlotte","florida",162449,45112,83378,20,83
"charlotte","virginia",12404,37173,1533,0,0
"charlton","georgia",13295,42307,763,0,3
"chase","kansas",2757,39095,1020,0,3
"chase","nebraska",4064,40465,2008,0,2
"chatham","georgia",276434,45985,404847,21,265
"chatham","north carolina",65976,56935,45529,1,101
"chattahoochee","georgia",13037,49969,31015,0,20
"chattooga","georgia",25725,32224,10871,0,7
"chautauqua","kansas",3571,35791,2169,0,4
"chautauqua","new york",133539,41432,248978,9,145
"chaves","new mexico",65784,37293,18883,0,27
"cheatham","tennessee",39271,53337,15829,5,14
"cheboygan","michigan",25835,37844,12747,5,11
"chelan","washington",73687,49509,51178,7,45
"chemung","new york",88911,46589,111687,9,74
"chenango","new york",49933,44662,37392,2,45
"cherokee","alabama",26021,37833,9218,1,8
"cherokee","georgia",221315,66717,142182,16,207
"cherokee","iowa",11946,45668,10069,0,7
"cherokee","kansas",21226,41513,7409,0,7
"cherokee","north carolina",26992,38621,18737,3,15
"cherokee","oklahoma",48150,33990,23473,4,23
"cherokee","south carolina",55662,35025,36029,6,39
"cherokee","texas",51206,37758,36957,1,33
"cherry","nebraska",5727,41929,2563,2,6
"cheshire","new hampshire",76851,55241,138329,7,77
"chester","pennsylvania",506575,86264,1090492,49,459
"chester","south carolina",32546,32112,13272,1,34
"chester","tennessee",17171,39776,7647,0,6
"chesterfield","south carolina",46103,32304,21285,1,46
"chesterfield","virginia",323856,72886,442276,14,288
"cheyenne","colorado",1874,47188,766,1,2
"cheyenne","kansas",2678,36364,892,0,1
"cheyenne","nebraska",10068,50143,15016,0,0
"chickasaw","iowa",12276,42098,5516,0,8
"chickasaw","mississippi",17416,30395,4598,0,10
"chicot","arkansas",11433,23954,2779,0,5
"childress","texas",7029,47605,2197,0,0
"chilton","alabama",43819,40418,11551,1,9
"chippewa","michigan",38917,41108,28487,3,24
"chippewa","minnesota",12135,44712,7540,0,2
"chippewa","wisconsin",62922,50239,20051,4,29
"chisago","minnesota",53452,67075,47010,4,31
"chittenden","vermont",158504,62260,330642,3,112
"choctaw","alabama",13633,32188,6258,0,12
"choctaw","mississippi",8346,29832,2937,1,6
"choctaw","oklahoma",15182,28039,3877,4,6
"chouteau","montana",5904,40825,2303,1,6
"chowan","north carolina",14772,34565,9243,0,14
"christian","illinois",34638,43964,24019,1,26
"christian","kentucky",75427,37958,59585,10,110
"christian","missouri",79824,51961,53608,5,102
"churchill","nevada",24375,52589,31446,0,34
"cibola","new mexico",27334,36020,10900,0,6
"cimarron","oklahoma",2385,35440,511,1,0
"citrus","florida",139360,38189,79657,18,89
"clackamas","oregon",383857,63790,647938,23,212
"claiborne","louisiana",16828,32972,11967,0,3
"claiborne","mississippi",9349,21924,1546,0,9
"claiborne","tennessee",31736,33178,18672,4,34
"clallam","washington",71863,46212,42864,29,30
"clare","michigan",30753,34431,31048,4,11
"clarendon","south carolina",34357,33355,8656,1,28
"clarion","pennsylvania",39646,41557,27157,5,31
"clark","arkansas",22936,32998,18019,1,17
"clark","idaho",869,39792,765,0,1
"clark","illinois",16209,47933,14689,0,12
"clark","indiana",111951,49130,88934,4,112
"clark","kansas",2181,42011,1528,0,3
"clark","kentucky",35787,45726,28121,0,37
"clark","missouri",6969,40333,1547,0,4
"clark","nevada",2000759,55961,2614908,244,1705
"clark","ohio",137206,44037,210201,9,120
"clark","south dakota",3585,45844,1402,0,2
"clark","washington",438287,59051,458825,93,339
"clark","wisconsin",34435,42756,8407,4,19
"clarke","alabama",25161,29668,9473,1,25
"clarke","georgia",120266,34151,1603050,9,157
"clarke","iowa",9370,45610,7654,1,9
"clarke","mississippi",16556,31059,2723,0,7
"clarke","virginia",14323,77048,9750,2,10
"clatsop","oregon",37301,43670,12381,3,20
"clay","alabama",13435,35410,9387,0,1
"clay","arkansas",15684,31135,1953,2,1
"clay","florida",194345,59994,1713392,5,193
"clay","georgia",3116,24750,1278,0,1
"clay","illinois",13766,38905,10901,1,18
"clay","indiana",26837,46916,17239,0,24
"clay","iowa",16599,45462,11539,5,13
"clay","kansas",8531,41829,3833,1,9
"clay","kentucky",21556,20206,15806,1,35
"clay","minnesota",60155,52108,99283,0,24
"clay","mississippi",20427,32919,10742,0,10
"clay","missouri",227577,60507,258558,9,119
"clay","nebraska",6411,45590,4133,2,4
"clay","north carolina",10618,36711,4461,1,29
"clay","south dakota",14131,39118,28451,0,6
"clay","tennessee",7840,28682,2936,3,1
"clay","texas",10535,52868,3839,0,1
"clay","west virginia",9297,29105,1782,0,4
"clayton","georgia",265888,42936,148413,5,241
"clayton","iowa",17835,46644,6118,0,9
"clear creek","colorado",9026,62756,6094,2,3
"clearfield","pennsylvania",81184,39391,64421,7,115
"clearwater","idaho",8590,42043,5747,0,2
"clearwater","minnesota",8703,39143,4726,0,11
"cleburne","alabama",14832,38785,4251,0,7
"cleburne","arkansas",25808,38510,13042,4,30
"clermont","ohio",199085,60219,108054,17,146
"cleveland","arkansas",8627,34292,4727,0,6
"cleveland","north carolina",97474,38352,143593,6,66
"cleveland","oklahoma",265638,53759,200923,16,169
"clinch","georgia",6718,33143,1146,0,1
"clinton","illinois",38061,57246,27229,3,30
"clinton","indiana",33022,48352,15262,9,18
"clinton","iowa",48717,48063,37606,1,36
"clinton","kentucky",10285,27654,2808,0,3
"clinton","michigan",76001,58244,60886,3,37
"clinton","missouri",20508,51439,21443,2,23
"clinton","new york",81654,49260,108611,6,58
"clinton","ohio",41886,47264,29986,4,49
"clinton","pennsylvania",39517,39696,5034,2,8
"cloud","kansas",9397,37073,7545,1,7
"coahoma","mississippi",25709,26050,11416,0,27
"coal","oklahoma",5963,34217,1545,2,0
"cobb","georgia",707442,65423,998336,39,630
"cochise","arizona",132088,45906,52489718,14,71
"cochran","texas",3046,40513,764,0,0
"cocke","tennessee",35571,28563,20562,2,22
"coconino","arizona",136011,49615,147482,28,57
"codington","south dakota",27606,44672,23389,0,27
"coffee","alabama",51252,42065,55351,4,149
"coffee","georgia",43170,34327,15672,3,45
"coffee","tennessee",53222,39268,81247,5,42
"coffey","kansas",8502,49552,71265,0,7
"coke","texas",3231,40000,2425,1,2
"colbert","alabama",54446,40247,25867,1,32
"cole","missouri",76363,55580,188454,0,85
"coleman","texas",8675,27910,6270,3,7
"coles","illinois",53655,38294,123116,5,47
"colfax","nebraska",10653,46685,2446,0,2
"colfax","new mexico",13223,38012,3310,1,2
"colleton","south carolina",38153,31700,17355,2,42
"collier","florida",332427,56876,236405,34,188
"collin","texas",834642,82758,2842473,50,587
"collingsworth","texas",3036,38750,382,1,1
"colorado","texas",20696,43252,8890,3,2
"colquitt","georgia",46137,33345,33058,6,68
"columbia","arkansas",24473,36163,18359,2,22
"columbia","florida",67966,38589,48399,7,65
"columbia","georgia",131627,66556,120479,4,116
"columbia","new york",62499,56185,49741,5,77
"columbia","oregon",49286,56270,30523,10,13
"columbia","pennsylvania",66887,44136,122049,0,59
"columbia","washington",3995,44038,1665,0,3
"columbia","wisconsin",56539,57805,27908,12,35
"columbiana","ohio",106507,41003,44178,7,52
"columbus","north carolina",57638,34938,11412,2,23
"colusa","california",21411,49558,8401,3,15
"comal","texas",114384,65521,53062,7,55
"comanche","kansas",1913,38750,892,0,0
"comanche","oklahoma",126390,45947,146635,12,89
"comanche","texas",13765,36326,15676,10,10
"concho","texas",4010,46528,1799,1,1
"concordia","louisiana",20365,28705,4592,0,3
"conecuh","alabama",12981,27977,4030,0,11
"conejos","colorado",8275,34435,278,1,1
"contra costa","california",1079597,79135,10964948,99,631
"converse","wyoming",14008,56673,14597,1,8
"conway","arkansas",21287,31890,7756,0,2
"cook","georgia",16923,35306,6634,1,34
"cook","illinois",5231351,54598,13984169,407,4324
"cook","minnesota",5185,49496,3843,1,1
"cooke","texas",38688,50176,18071,3,23
"cooper","missouri",17520,45869,7959,1,17
"coos","new hampshire",32096,41087,20445,10,16
"coos","oregon",62534,37789,48913,5,62
"coosa","alabama",10966,37191,765,0,0
